ID,School,ADDRESS,pincodes,REASON,CircleName,RegionName,DivisionName,OfficeName,OfficeType,Delivery,District,StateName,,COUNTA of ADDRESS,,REASON,,,,,,
3,"Stanford International Girls School, Ujjain","gram mindia ,Indore road, Ujjain,456001",456001,Existing School,Madhya Pradesh Circle,Indore Region,Ujjain Division,Ujjain H.O,HO,Delivery,UJJAIN,MADHYA PRADESH,,StateName,DivisionName,,Bloom,Existing School,GharWapisi,Hot Lead,Positive Demo,Grand Total
5,"Akshat International School, Ujjain","Akshat International School, Lalpur, Ujjain Dewas Rd, Nagziri, Ujjain, Madhya Pradesh 456664",456664,Existing School,Madhya Pradesh Circle,Indore Region,Ujjain Division,Bolasa B.O,BO,Delivery,UJJAIN,MADHYA PRADESH,, Total,,1,2,,1,,,4
52,The Honey Bees Public School,"Old RTO Building, Bacha Layout,Airforce Station Road,Bidar 585401.",585401,GharWapisi,Karnataka Circle,North Karnataka Region,Bidar Division,Bidar H.O,HO,Delivery,BIDAR,KARNATAKA,,ANDHRA PRADESH Total,,,,,1,4,,5
59,"Kalidas Montessori Nanakheda Branch, Ujjain","Kalidas Montessori Senior Sec. School, Rishi Nagar Ext. Near Brahmakumari Ashram, Ujjain 456010, Phone - 94071 30341, 98930 95848",456010,Existing School,Madhya Pradesh Circle,Indore Region,Ujjain Division,Ujjain M.L.Nagar S.O,PO,Delivery,UJJAIN,MADHYA PRADESH,,ARUNACHAL PRADESH Total,,,,,1,1,,2
75,KALIDAS MONTESSORI SENIOR SECONDARY SCHOOL,"Address–17,MILKIPURA, Bada teliwada,UJJAIN-456010, 89826 13275, 90395 13294",456010,Existing School,Madhya Pradesh Circle,Indore Region,Ujjain Division,Ujjain M.L.Nagar S.O,PO,Delivery,UJJAIN,MADHYA PRADESH,,ASSAM Total,,,,4,2,,,6
81,QMS Boys,Queen marys sr sec school ramnagar pushkar Road ajmer 305004,305004,Existing School,Rajasthan Circle,Ajmer Region,Ajmer Division,NODAL DELIVERY CENTRE,PO,Delivery,AJMER,RAJASTHAN,,BIHAR Total,,,,6,6,6,1,19
282,Om Shanti English Medium SChool,"Opp. Sardar Baug, Shanala Road, Punit Nagar, Morbi, Gujarat 363641, India",363641,GharWapisi,Gujarat Circle,Rajkot Region,Rajkot Division,Bagathala BO,BO,Delivery,MORBI,GUJARAT,,CHHATTISGARH Total,,,1,,1,3,,5
283,THE GRAMODAYA INTERNATIONAL COLLEGE,"727, Alyai, Mauranipur Jhansi 284204 U P",284204,GharWapisi,Uttar Pradesh Circle,Agra Region,Jhansi Division,Rora Bhatpura BO,BO,Delivery,JHANSI,UTTAR PRADESH,,DELHI Total,,,,,4,,,4
284,Kids Arena,"The Tree House, 6A/D, Pushtikar CHS, Patel estate road, Opp Harbour line station, Jogeshwari west, Mumbai 400102, Ph 9821052249",400102,Existing School,Maharashtra Circle,Mumbai Region,Mumbai City North West Division,Jogeshwari West SO,PO,Delivery,MUMBAI SUBURBAN,MAHARASHTRA,,GUJARAT Total,,,1,2,6,5,,14
287,Kids Gurukul,"Plot No. 111 Parshpuram Apartment, Jay Nagar, Near Omkareshwar Temple, Jalgaon 425001, Minal Mam- 8208057602, Kruti Mam - 9823495225",425001,Existing School,Maharashtra Circle,Aurangabad Region,Jalgaon Division,Jalgaon H.O,HO,Delivery,JALGAON,MAHARASHTRA,,HARYANA Total,,,,3,6,6,,15
291,"Sai International School, Solan, Himachal Pradesh","Kotla Nala Rd, Near degree college, Kotla Nala, Solan, Himachal Pradesh 173212",173212,GharWapisi,Himachal Pradesh Circle,DivReportingCircle,Solan Division,Damkari BO,BO,Delivery,SOLAN,HIMACHAL PRADESH,,HIMACHAL PRADESH Total,,,,4,6,2,1,13
314,Ken International,"Ken International Girls School Chak Jayrampur behind Sanchi Dugdh Sangh Maxi Road Ujjain, Pin code 456010, Mob.no. 7974761294",456010,Existing School,Madhya Pradesh Circle,Indore Region,Ujjain Division,Ujjain M.L.Nagar S.O,PO,Delivery,UJJAIN,MADHYA PRADESH,,JAMMU AND KASHMIR Total,,,,4,2,3,,9
393,"Genius Global School, Solan , Himachal Pradesh","Genius Global School, 194, Anand Vihar,Saproon, Solan (H.P.) , Pincode - 173211, Phone - 9816277154, 7778800054",173211,Existing School,Himachal Pradesh Circle,DivReportingCircle,Solan Division,Barog RSBO,BO,Delivery,SOLAN,HIMACHAL PRADESH,,JHARKHAND Total,,,,5,2,2,,9
394,RN FOUNDATION LITTLE HEART SCHOOL JAMSHEDPUR,"Kedo, Narwaphar, Near Sundernagar, Jamshedpur, Jharkhand 832111",832111,GharWapisi,Jharkhand Circle,DivReportingCircle,Singhbhum Division,Narwa Mines SO,PO,Delivery,EAST SINGHBUM,JHARKHAND,,KARNATAKA Total,,,,1,12,7,,20
395,Maharana Pratap Public School Noida,"Vandana Enclave, Khora, Ghaziabad 201001 (U.P), India
+91-9818690071",201001,GharWapisi,Uttar Pradesh Circle,Lucknow HQ Region,Ghaziabad Division,Ghaziabad HO,HO,Delivery,GHAZIABAD,UTTAR PRADESH,,KERALA Total,,,,,1,1,,2
396,ST JOSEPHS ACADEMY-SR JUDE,"ST. JUDE'S ACADEMY, SONIPAT
CHURCH ROAD, NARENDER NAGAR, SONIPAT, HARYANA - 131001",131001,GharWapisi,Haryana Circle,DivReportingCircle,Sonepat Division,Rathdhana BO,BO,Delivery,SONIPAT,HARYANA,,LADAKH Total,,,,,1,,,1
400,"K K Blossoms High School, Solan, Himachal Pradesh","Rabon Solan, NH-22, Near Housing Board p.o Saproon near Bhagat bank rabon branch, Himachal Pradesh 173211",173211,GharWapisi,Himachal Pradesh Circle,DivReportingCircle,Solan Division,Barog RSBO,BO,Delivery,SOLAN,HIMACHAL PRADESH,,MADHYA PRADESH Total,,,155,21,22,15,3,216
401,Himalaya Inter college-Prakash karki,"NH309A, Chaukori,Uttarakhand 262531",262531,Existing School,Uttarakhand Circle,DivReportingCircle,Pithoragarh Division,Belkote BO,BO,Delivery,PITHORAGARH,UTTARAKHAND,,MAHARASHTRA Total,,,,13,12,5,,30
404,QMS Nasirabad,"Nandla, Nasirabad, Dist Ajmer, Rajasthan, Ajmer, Rajasthan 305601",305601,Existing School,Rajasthan Circle,Ajmer Region,Beawar Division,Sanod B.O,BO,Delivery,AJMER,RAJASTHAN,,MANIPUR Total,,,,,,1,,1
405,QMS Girls,"Queen Mary's Girls School, B K Kaul Nagar, Pushkar Road, Ajmer 305001",305001,Existing School,Rajasthan Circle,Ajmer Region,Ajmer Division,Ajmer H.O,HO,Delivery,AJMER,RAJASTHAN,,MIZORAM Total,,,,,1,,,1
421,SSK Public School-Kunal Katkade,"Bramhanwade, Jaigaon Road, Wadzire, Jaygaon, Sinnar, Nashik, 422102",422102,GharWapisi,Maharashtra Circle,Navi Mumbai Region,Nasik Division,Jaigaon B.O,BO,Delivery,NASHIK,MAHARASHTRA,,ODISHA Total,,,,1,3,3,,7
422,"DG Agrawal Memorial, Pimpalner","Smt. D.G.Agrawal Memorial English Medium School,Indira Nagar,Pimplner. P. O.Tal. Sakri,Dist. Dhule ,Maharashta ,Pin - 424306",424306,Existing School,Maharashtra Circle,Aurangabad Region,Dhule Division,Chikase B.O,BO,Delivery,DHULE,MAHARASHTRA,,PUNJAB Total,,,,,4,5,1,10
425,"BRDM Public School, Haryana:Varun jain","Shora Kothi, Jind Rd, Kaithal, Haryana 136027, India",136027,GharWapisi,Haryana Circle,DivReportingCircle,Kurukshetra Division,Geong B.O,BO,Delivery,KAITHAL,HARYANA,,RAJASTHAN Total,,,,20,10,11,,41
430,"Twinkle Star School, Gandhidham, Kutch, Gujarat","Ward 2B, Adipur, Gandhidham, Gujarat 370205",370205,GharWapisi,Gujarat Circle,Rajkot Region,Kutch Division,Sinay BO,BO,Delivery,KACHCHH,GUJARAT,,TAMIL NADU Total,,,,2,3,2,1,8
432,Rainbow India School-P S Bhati,"Plot no 13, dharmadeep park,bhuj kutch Gujarat,370001",370001,Existing School,Gujarat Circle,Rajkot Region,Kutch Division,Nirona BO,BO,Delivery,KACHCHH,GUJARAT,,TELANGANA Total,,,1,1,3,2,,7
502,Shivam Public School,"Shivam Public School, Shivam nagar Dhakar mod khurja, Pin :- 203131",203131,Existing School,Uttar Pradesh Circle,Agra Region,Bulandshahar Division,Bhatwara BO,BO,Delivery,BULANDSHAHR,UTTAR PRADESH,,TRIPURA Total,,,,1,1,,,2
503,Shivam Global School,"Shivam Global School, Khurja Junction, Bulandshahr (UP), Pin code- 203131.",203131,Existing School,Uttar Pradesh Circle,Agra Region,Bulandshahar Division,Bhatwara BO,BO,Delivery,BULANDSHAHR,UTTAR PRADESH,,UTTAR PRADESH Total,,,,25,20,21,4,70
505,"St. Maryam Public School, Jhasi (Senior)",103/A NEAR TELEPHONE EXCHANGE VEERANGNA NAGAR JDA COLONY MEDICAL ROAD JHANSI (Pin - 284128),284128,Existing School,Uttar Pradesh Circle,Agra Region,Jhansi Division,Kochha Bhanwar BO,BO,Delivery,JHANSI,UTTAR PRADESH,,UTTARAKHAND Total,,,,2,1,,,3
511,My planet PreSchool-ANOOP KASHYAP,"35, Kavi Kalidas Marg, GANESH PURA, Ujjain, Madhya Pradesh 456001",456001,GharWapisi,Madhya Pradesh Circle,Indore Region,Ujjain Division,Ujjain H.O,HO,Delivery,UJJAIN,MADHYA PRADESH,,WEST BENGAL Total,,,,6,1,6,1,14
521,virgin mary school ujjain,"Virgin Mary H S School, 157, Mangal Colony , Udyan Marg , Sethi Nagar Ujjain, Pincode - 456001, Contact: 7000187472",456001,Existing School,Madhya Pradesh Circle,Indore Region,Ujjain Division,Ujjain H.O,HO,Delivery,UJJAIN,MADHYA PRADESH,,Grand Total,,1,160,121,133,111,12,538
525,Gateway International High School,"Postal address:- M.RAJASHEKHAR REDDY, Gateway International High school, Budwel,Rajendranagar, Hyderabad-30,Pin code - 500030, Ph no:8886085556/9133443300",500030,Existing School,Telangana Circle,Hyderabad City Region,Hyderabad South East Division,Rajendranagar S.O,PO,Delivery,RANGA REDDY,TELANGANA,,,,,,,,,,976
702,Oil valley Girls and Boys School,"Oil Valley Girls' & Boys' School, (CBSE) Banipur, Hatimurah, P.O. DIBRUGARH, Assam 786003.",786003,Existing School,Assam Circle,Dibrugarh Region,Dibrugarh Division,Bhurburi B.O,BO,Delivery,DIBRUGARH,ASSAM,,,,,,,,,,
1666,Rungta International School-Mrs.Nandini Dasgupta,"RIS Building, behind Nandan Van, Veer Savarkar Nagar, Raipur, Chhattisgarh 492099",492099,Hot Lead,Chattisgarh Circle,DivReportingCircle,Raipur Division,Tenduwa BO,BO,Delivery,RAIPUR,CHHATTISGARH,,,,,,,,,,
2488,Prabhu Dayal Vidyalaya Kurukshetra,"H No. 1635, Sector - 13, Urban Estate, Kurukshetra HARYANA, Pin Code - 136118",136118,Existing School,Haryana Circle,DivReportingCircle,Kurukshetra Division,Kurukshetra H.O,HO,Delivery,KURUKSHETRA,HARYANA,,,,,,,,,,
3264,OM SHANTI ENGLISH MEDIUM SCHOOL(GSEB)(oseme),"Rajkot - Morbi Highway, B/h Solar Clock, Shanala, Morbi-363641, Gujara",363641,GharWapisi,Gujarat Circle,Rajkot Region,Rajkot Division,Bagathala BO,BO,Delivery,MORBI,GUJARAT,,,,,,,,,,
3897,Elite International School,"Elite International School, Near Civil Hospital Kandaghat,Pin code 173215 ,Contact 9780858487",173215,Existing School,Himachal Pradesh Circle,DivReportingCircle,Solan Division,Kawarag BO,BO,Delivery,SOLAN,HIMACHAL PRADESH,,,,,,,,,,
4707,GALAXY PUBLIC SCHOOL,"Railway Road, NAGROTA SURIAN, Kangra, Himachal Pradesh 176027 Contact-9816061009",176027,GharWapisi,Himachal Pradesh Circle,DivReportingCircle,Dehra Gopipur Division,Ludret BO,BO,Delivery,KANGRA,HIMACHAL PRADESH,,,,,,,,,,
7576,SKY HIGH PUBLIC SCHOOL-Mr.DHARMENDRA SINGH BHADORIYA,"Dabra Bhitarwar Road Kariyawati, Dabra Gwalior M.P 475110",475110,GharWapisi,Madhya Pradesh Circle,DivReportingCircle,Gwalior Division,Chinor B.O,BO,Delivery,GWALIOR,MADHYA PRADESH,,,,,,,,,,
7632,Billabong High International School,"BILLABONG HIGH INTERNATIONAL SCHOOL , MIST Campus, Limbodagari , Behind Aurobindo Hospital, Sanwer Road, Indore-453111, Phone - 9977073338",453111,Existing School,Madhya Pradesh Circle,Indore Region,Indore Moffusil Division,Alwasa B.O,BO,Delivery,INDORE,MADHYA PRADESH,,,,,,,,,,
7647,ILVA HIGHER SECONDARY SCHOOL-PROF H K JAIN,"31, Sapna Sangeeta Road, Behind Lotus, Sneh Nager, Navlakha, Indore, Madhya Pradesh 452001 Phone: 0731 246 0990",452001,Hot Lead,Madhya Pradesh Circle,Indore Region,Indore City Division,Indore G.P.O.,HO,Delivery,INDORE,MADHYA PRADESH,,,,,,,,,,
7675,NATIONAL PUBLIC SCHOOL-Mrs. VIJAY LAKSHMI KHATWANI,"Airport Rd, Opposite Bijasan Temple, HIlink City, Indore, Madhya Pradesh 452005",452005,GharWapisi,Madhya Pradesh Circle,Indore Region,Indore City Division,Bijasan Road S.O,PO,Delivery,INDORE,MADHYA PRADESH,,,,,,,,,,
8122,Aaradhya International School,"Munja Khedi, Narwar, Dewas-Ujjain Road, Ujjain (M.P.)-456664",456664,Existing School,Madhya Pradesh Circle,Indore Region,Ujjain Division,Bolasa B.O,BO,Delivery,UJJAIN,MADHYA PRADESH,,,,,,,,,,
8135,JOLLY MEMORIAL MISSION SCHOOL,"Jolly Memorial Mission School, Ora park colony, Near Sethi Nagar, Ujjain. Pin- 456010, Mob:- 7415415449",456010,Existing School,Madhya Pradesh Circle,Indore Region,Ujjain Division,Ujjain M.L.Nagar S.O,PO,Delivery,UJJAIN,MADHYA PRADESH,,,,,,,,,,
8136,KADAMBINI CHILDRENS ACADEMY,"Kadambini Children's Academy, A-55, Indira Nagar, Agar Road,Ujjain, pincode: 456010, 0734-2580423. 9893087678",456010,Existing School,Madhya Pradesh Circle,Indore Region,Ujjain Division,Ujjain M.L.Nagar S.O,PO,Delivery,UJJAIN,MADHYA PRADESH,,,,,,,,,,
8139,Lokmanya Tilak Higher Secondary School,"Lokmanya Tilak higher secondary school CBSE behind railway station neelganga ujjain, Pincode 456001",456001,Existing School,Madhya Pradesh Circle,Indore Region,Ujjain Division,Ujjain H.O,HO,Delivery,UJJAIN,MADHYA PRADESH,,,,,,,,,,
8337,Shinde International School,"Opp.Vijaya Bank, Bhadgaon Road, Pachora, Maharashtra 424201",424201,GharWapisi,Maharashtra Circle,Aurangabad Region,Jalgaon Division,Anturli Bk B.O,BO,Delivery,JALGAON,MAHARASHTRA,,,,,,,,,,
8501,DG Agrawal Nava Pur School,"Smt. D.G. Agrawal English Medium School Navapur, Mahalakshmi park NH6 Navapur Tal Navapur Dist. Nandurbar,Pincode 425418",425418,Existing School,Maharashtra Circle,Aurangabad Region,Dhule Division,Khokse B.O,BO,Delivery,NANDURBAR,MAHARASHTRA,,,,,,,,,,
9072,Venkateswar English Medium School,"Venkateswar English Medium School
35, Chandrasekharpur
Near Infocity Road and CTTC
Bhubaneswar, Odisha-751024",751024,Hot Lead,Odisha Circle,DivReportingCircle,Bhubaneswar Division,Kalarahanga B.O,BO,Delivery,KHORDHA,ODISHA,,,,,,,,,,
10247,Mangal Newton School,"Mangal Newton School , Hasti Complex 5th milestone Ajmer road, Beawar, Distt:- Ajmer , State :- Rajasthan ,Pin code :- 305901, Mobile no:- 9314284515, 8302406368",305901,Existing School,Rajasthan Circle,Ajmer Region,Beawar Division,Andheri Deori B.O,BO,Delivery,AJMER,RAJASTHAN,,,,,,,,,,
10366,EVERGREEN PUBLIC SCHOOL-MS SANGEETA BABEL,"Neelkanth Mahadev Colony, Shastri Nagar, Bhilwara, Rajasthan 311001",311001,Hot Lead,Rajasthan Circle,Ajmer Region,Bhilwara Division,Bhilwara H.O,HO,Delivery,BHILWARA,RAJASTHAN,,,,,,,,,,
10450,impulse english school,"NH-11, Agra Side Bypass Tiraha, Agra Road, Dausa Rajasthan, 303303",303303,Hot Lead,Rajasthan Circle,DivReportingCircle,Jaipur Moffusil Division,Hingotia BO,BO,Delivery,DAUSA,RAJASTHAN,,,,,,,,,,
10593,Dunes Academy - Jodhpur,"Indraprastha Nagar, Tehsil Aau, District Phalodi, City Jodhpur, Rajasthan, INDIA – 342301",342301,GharWapisi,Rajasthan Circle,Jodhpur Region,Jodhpur Division,Bari Baori BO,BO,Delivery,JODHPUR,RAJASTHAN,,,,,,,,,,
10670,Cambridge Public School,"Cambridge Shiksha Samiti Simani
Sivani (
Peeo Kalakhari
Buhana
Jhunjhunu
Rajasthan. pincode: 333502",333502,GharWapisi,Rajasthan Circle,Jodhpur Region,Jhunjhunu Division,Badbar B.O,BO,Delivery,JHUNJHUNU,RAJASTHAN,,,,,,,,,,
10982,Shree SudhaSagar Digamber Jain Vidya Vihar Senior Secondary School-Anand Soni,"Shri SudhaSagar Digamber Jain Vidhya Vihar senior secondary school,Sapanda Road,Kekri - 305404",305404,Existing School,Rajasthan Circle,Ajmer Region,Beawar Division,Bharai B.O,BO,Delivery,AJMER,RAJASTHAN,,,,,,,,,,
11256,SNS ACADEMY COIMBATORE,"538, THUDIYALUR-SARAVANAMPATTI ROAD, VELLAKINAR, COIMBATORE-641029,",641029,Existing School,Tamilnadu Circle,"Western Region, Coimbatore",Coimbatore Division,Vellakinar BO,BO,Delivery,COIMBATORE,TAMIL NADU,,,,,,,,,,
12657,THE KHAITAN SCHOOL-MRS DAVINDER KAUR,"Block F, 1A/A, F Block, Sector 40, Noida, Uttar Pradesh 201303",201303,Hot Lead,Uttar Pradesh Circle,Lucknow HQ Region,Ghaziabad Division,Sec37 Noida SO,PO,Delivery,GAUTAM BUDDHA NAGAR,UTTAR PRADESH,,,,,,,,,,
12747,J.R. Global International Junior High School - Mr.Kuljeet,"JR Global International School, Address Sablu Garhi, Near Kharkhari RLY.STN, DELHI- NCR, Loni, Ghaziabad, Uttar Pradesh-201102",201102,Existing School,Uttar Pradesh Circle,Lucknow HQ Region,Ghaziabad Division,Behta Hazipur BO,BO,Delivery,GHAZIABAD,UTTAR PRADESH,,,,,,,,,,
13342,"Green Willow Public School, Mathura -UP","Green Willow Public School , NH-19, Navada, Mathura (U.P.) India – 281006, +91-8191000449, =+91-8191000443",281006,Existing School,Uttar Pradesh Circle,Agra Region,Mathura Division,Adooki BO,BO,Delivery,MATHURA,UTTAR PRADESH,,,,,,,,,,
13646,SHIKHAR SHIKSHA SADAN HIGHER SECONDARY SCHOOL,"Miranpur, Muzaffarnagar, NH-119, Meerut Pauri National Highway, Muzaffarnagar, Muzaffarnagar, Uttar Pradesh 251315 Contact - 8700150392",251315,Positive Demo,Uttar Pradesh Circle,Bareilly Region,Muzaffarnagar Division,Bhooma BO,BO,Delivery,MUZAFFARNAGAR,UTTAR PRADESH,,,,,,,,,,
13659,Suryadev International School,Shiv Kumar C/O Surya Dev International School 69 Gher Khatti New Mandi Muzaffarnagar 251001 UP,251001,Existing School,Uttar Pradesh Circle,Bareilly Region,Muzaffarnagar Division,Bagowali BO,BO,Delivery,MUZAFFARNAGAR,UTTAR PRADESH,,,,,,,,,,
14338,BR New Modern School:Gopal sir,"Agency chowk, Pauri Garhwal, Uttaranchal, India 246001",246001,GharWapisi,Uttarakhand Circle,DivReportingCircle,Pauri Division,Jamnakhal BO,BO,Delivery,PAURI GARHWAL,UTTARAKHAND,,,,,,,,,,
64492,Sanskaar Public School,DIWADIYA BLOCK- ICHHAWAR SEHORE (MP)-466115,466115,Existing School,Madhya Pradesh Circle,Indore Region,Sehore Division,Bhaukhedi B.O,BO,Delivery,SEHORE,MADHYA PRADESH,,,,,,,,,,
64808,"GURUKUL- The Real English Medium School (BADWANI) NEWALI ROAD, SENDHWA","Niwali Rd, Sendhwa, Barwani, Madhya Pradesh 451666",451666,GharWapisi,Madhya Pradesh Circle,Indore Region,Khandwa Division,Balwadi B.O,BO,Delivery,BARWANI,MADHYA PRADESH,,,,,,,,,,
64874,Golden Dale School Begusarai,"Golden dale school, At- Ballia Block campus , Near Pashu hospital , District- Begusarai, Pin - 851211",851211,Existing School,Bihar Circle,"East Region, Bhagalpur",Begusarai Division,Ballia Bazar BO,BO,Delivery,BEGUSARAI,BIHAR,,,,,,,,,,
